paper_id,title,authors,venue,year,pdf_path,topics
2604.14717v1,Layered Mutability: Continuity and Governance in Persistent Self-Modifying Agents,Krti Tallam,arXiv,2026,data/pdfs/2604.14717v1.pdf,cs.AI
2604.14712v1,SGA-MCTS: Decoupling Planning from Execution via Training-Free Atomic Experience Retrieval,Xin Xie; Dongyun Xue; Wuguannan Yao; Mingxiao Feng; Wengang Zhou,arXiv,2026,data/pdfs/2604.14712v1.pdf,cs.AI
2604.14709v1,HWE-Bench: Benchmarking LLM Agents on Real-World Hardware Bug Repair Tasks,Fan Cui; Hongyuan Hou; Zizhang Luo; Chenyun Yin; Yun Liang,arXiv,2026,data/pdfs/2604.14709v1.pdf,cs.AI
2604.14705v1,SynHAT: A Two-stage Coarse-to-Fine Diffusion Framework for Synthesizing Human Activity Traces,Rongchao Xu; Lin Jiang; Dahai Yu; Ximiao Li; Guang Wang,arXiv,2026,data/pdfs/2604.14705v1.pdf,cs.AI
2604.14691v1,CAMO: An Agentic Framework for Automated Causal Discovery from Micro Behaviors to Macro Emergence in LLM Agent Simulations,Xiangning Yu; Yuwei Guo; Yuqi Hou; Xiao Xue; Qun Ma,arXiv,2026,data/pdfs/2604.14691v1.pdf,cs.AI
2604.14687v1,M2-PALE: A Framework for Explaining Multi-Agent MCTS--Minimax Hybrids via Process Mining and LLMs,Yiyu Qian; Liyuan Zhao; Tim Miller,arXiv,2026,data/pdfs/2604.14687v1.pdf,cs.AI
2604.14683v1,DR$^{3}$-Eval: Towards Realistic and Reproducible Deep Research Evaluation,Qianqian Xie; Qingheng Xiong; He Zhu; Tiantian Xia; Xueming Han,arXiv,2026,data/pdfs/2604.14683v1.pdf,cs.AI
2604.14682v1,Acceptance Dynamics Across Cognitive Domains in Speculative Decoding,Saif Mahmoud,arXiv,2026,data/pdfs/2604.14682v1.pdf,cs.AI
2604.14661v1,AIPC: Agent-Based Automation for AI Model Deployment with Qualcomm AI Runtime,Jianhao Su; Zhanwei Wu; ShengTing Huang; Weidong Feng,arXiv,2026,data/pdfs/2604.14661v1.pdf,cs.AI
2604.14656v1,Rethinking Patient Education as Multi-turn Multi-modal Interaction,Zonghai Yao; Zhipeng Tang; Chengtao Lin; Xiong Luo; Benlu Wang,arXiv,2026,data/pdfs/2604.14656v1.pdf,cs.AI
2604.14655v1,AgentGA: Evolving Code Solutions in Agent-Seed Space,David Y. Y. Tan; Kellie Chin; Jingxian Zhang,arXiv,2026,data/pdfs/2604.14655v1.pdf,cs.AI
2604.14648v1,"Seen-to-Scene: Keep the Seen, Generate the Unseen for Video Outpainting",Inseok Jeon; Minhyeok Lee; Seunghoon Lee; Minseok Kang; Suhwan Cho,arXiv,2026,data/pdfs/2604.14648v1.pdf,cs.AI
2604.14646v1,Targeted Exploration via Unified Entropy Control for Reinforcement Learning,Chen Wang; Lai Wei; Yanzhi Zhang; Chenyang Shao; Zedong Dan,arXiv,2026,data/pdfs/2604.14646v1.pdf,cs.AI
2604.14645v1,Chaotic CNN for Limited Data Image Classification,Anusree M; Akhila Henry; Pramod P Nair,arXiv,2026,data/pdfs/2604.14645v1.pdf,cs.AI
2604.14641v1,Learning to Draw ASCII Improves Spatial Reasoning in Language Models,Shiyuan Huang; Li Liu; Jincheng He; Leilani H. Gilpin,arXiv,2026,data/pdfs/2604.14641v1.pdf,cs.AI
2604.14640v1,Fact4ac at the Financial Misinformation Detection Challenge Task: Reference-Free Financial Misinformation Detection via Fine-Tuning and Few-Shot Prompting of Large Language Models,Cuong Hoang; Le-Minh Nguyen,arXiv,2026,data/pdfs/2604.14640v1.pdf,cs.AI
2604.14631v1,StoryCoder: Narrative Reformulation for Structured Reasoning in LLM Code Generation,Geonhui Jang; Dongyoon Han; YoungJoon Yoo,arXiv,2026,data/pdfs/2604.14631v1.pdf,cs.AI
2604.14627v1,A Parallel Approach to Counting Exact Covers Based on Decomposability Property,Liangda Fang; Yaohui Luo; Delong Li; Xuanxiang Huang; Quanlong Guan,arXiv,2026,data/pdfs/2604.14627v1.pdf,cs.AI
2604.14626v1,ELMoE-3D: Leveraging Intrinsic Elasticity of MoE for Hybrid-Bonding-Enabled Self-Speculative Decoding in On-Premises Serving,Yuseon Choi; Jingu Lee; Jungjun Oh; Sunjoo Whang; Byeongcheol Kim,arXiv,2026,data/pdfs/2604.14626v1.pdf,cs.AI
2604.14624v1,Asking What Matters: Reward-Driven Clarification for Software Engineering Tasks,Sanidhya Vijayvargiya; Vijay Viswanathan; Graham Neubig,arXiv,2026,data/pdfs/2604.14624v1.pdf,cs.AI
2604.14616v1,"Retrieve, Then Classify: Corpus-Grounded Automation of Clinical Value Set Authoring",Sumit Mukherjee; Juan Shu; Nairwita Mazumder; Tate Kernell; Celena Wheeler,arXiv,2026,data/pdfs/2604.14616v1.pdf,cs.AI
2604.14615v1,CoDaS: AI Co-Data-Scientist for Biomarker Discovery via Wearable Sensors,Yubin Kim; Salman Rahman; Samuel Schmidgall; Chunjong Park; A. Ali Heydari,arXiv,2026,data/pdfs/2604.14615v1.pdf,cs.AI
2604.14613v1,Uncertainty-aware Generative Learning Path Recommendation with Cognition-Adaptive Diffusion,Xiangrui Xiong; Hang Liang; Baiyang Chen; Zifei Pan; Yanli Lee,arXiv,2026,data/pdfs/2604.14613v1.pdf,cs.AI
2604.14609v1,El Agente Forjador: Task-Driven Agent Generation for Quantum Simulation,Zijian Zhang; Aiwei Yin; Amaan Baweja; Jiaru Bai; Ignacio Gustin,arXiv,2026,data/pdfs/2604.14609v1.pdf,cs.AI
2604.14607v1,GDPR Auto-Formalization with AI Agents and Human Verification,Ha Thanh Nguyen; Wachara Fungwacharakorn; Sabine Wehnert; May Myo Zin; Yuntao Kong,arXiv,2026,data/pdfs/2604.14607v1.pdf,cs.AI
2604.14604v1,Hijacking Large Audio-Language Models via Context-Agnostic and Imperceptible Auditory Prompt Injection,Meng Chen; Kun Wang; Li Lu; Jiaheng Zhang; Tianwei Zhang,arXiv,2026,data/pdfs/2604.14604v1.pdf,cs.AI
2604.14602v1,CausalDetox: Causal Head Selection and Intervention for Language Model Detoxification,Yian Wang; Yuen Chen; Agam Goyal; Hari Sundaram,arXiv,2026,data/pdfs/2604.14602v1.pdf,cs.AI
2604.14593v1,Mechanistic Decoding of Cognitive Constructs in LLMs,Yitong Shou; Manhao Guan,arXiv,2026,data/pdfs/2604.14593v1.pdf,cs.AI
